Iteration,Epsilon,Delta,Dynamic_Noise_Multiplier,Mean_Performance,Seed
1,,,37.910778522491455,0.6914917050801882,42
1,50.0,0.1,37.910778522491455,0.561363199846346,42
2,50.0,0.01,37.910778522491455,0.6060216196101027,42
3,50.0,0.001,37.910778522491455,0.48904674445404783,42
4,50.0,0.0001,37.910778522491455,0.6798151949486219,42
5,30.0,0.1,37.910778522491455,0.5203372587150678,42
6,30.0,0.01,37.910778522491455,0.6416288533563814,42
7,30.0,0.001,37.910778522491455,0.7003862359550562,42
8,30.0,0.0001,37.910778522491455,0.6128856357437819,42
9,20.0,0.1,37.910778522491455,0.6054157063286276,42
10,20.0,0.01,37.910778522491455,0.7478488427926631,42
11,20.0,0.001,37.910778522491455,0.6299034260059542,42
12,20.0,0.0001,37.910778522491455,0.6262046240276578,42
13,10.0,0.1,37.910778522491455,0.5900710049937579,42
14,10.0,0.01,37.910778522491455,0.6227996254681648,42
15,10.0,0.001,37.910778522491455,0.6800783875924326,42
16,10.0,0.0001,37.910778522491455,0.6264765197349467,42
17,5.0,0.1,37.910778522491455,0.6523447253433208,42
18,5.0,0.01,37.910778522491455,0.6788359502544896,42
19,5.0,0.001,37.910778522491455,0.5575431551906271,42
20,5.0,0.0001,37.910778522491455,0.6944831580716413,42
21,1.0,0.1,37.910778522491455,0.5021700638624795,42
22,1.0,0.01,37.910778522491455,0.7005146811677712,42
23,1.0,0.001,37.910778522491455,0.6003988403918179,42
24,1.0,0.0001,37.910778522491455,0.6469176150004802,42
25,0.1,0.1,37.910778522491455,0.5904542398924422,42
26,0.1,0.01,37.910778522491455,0.5652405646787669,42
27,0.1,0.001,37.910778522491455,0.6752118745798521,42
28,0.1,0.0001,37.910778522491455,0.4920294943820225,42
29,50.0,0.1,37.910778522491455,0.6002787981369442,42
30,50.0,0.1,37.910778522491455,0.6102233986363199,42
31,50.0,0.1,37.910778522491455,0.5601966892346106,42
32,50.0,0.1,37.910778522491455,0.6513825866705081,42
33,50.0,0.01,37.910778522491455,0.6155340679919331,42
34,50.0,0.01,37.910778522491455,0.5883661048689138,42
35,50.0,0.01,37.910778522491455,0.6466913353500432,42
36,50.0,0.01,37.910778522491455,0.6652096537981369,42
37,50.0,0.001,37.910778522491455,0.603960494093921,42
38,50.0,0.001,37.910778522491455,0.5158941947565543,42
39,50.0,0.001,37.910778522491455,0.6698789974070873,42
40,50.0,0.001,37.910778522491455,0.5740726735811006,42
41,50.0,0.0001,37.910778522491455,0.6558256506290214,42
42,50.0,0.0001,37.910778522491455,0.6422398684336886,42
43,50.0,0.0001,37.910778522491455,0.5261818159992318,42
44,50.0,0.0001,37.910778522491455,0.6774737707673101,42
45,30.0,0.1,37.910778522491455,0.689172488716028,42
46,30.0,0.1,37.910778522491455,0.6437623043311246,42
47,30.0,0.1,37.910778522491455,0.6614607341784308,42
48,30.0,0.1,37.910778522491455,0.6046813478344377,42
49,30.0,0.01,37.910778522491455,0.5686590679919331,42
50,30.0,0.01,37.910778522491455,0.5868703783731873,42
51,30.0,0.01,37.910778522491455,0.644701034764237,42
52,30.0,0.01,37.910778522491455,0.6132772736003073,42
53,30.0,0.001,37.910778522491455,0.6693676174013252,42
54,30.0,0.001,37.910778522491455,0.7380596970133487,42
55,30.0,0.001,37.910778522491455,0.6492152237587631,42
56,30.0,0.001,37.910778522491455,0.6328861759339287,42
57,30.0,0.0001,37.910778522491455,0.737066947565543,42
58,30.0,0.0001,37.910778522491455,0.679129753673293,42
59,30.0,0.0001,37.910778522491455,0.649032759531355,42
60,30.0,0.0001,37.910778522491455,0.5175453759723423,42
61,20.0,0.1,37.910778522491455,0.584039481897628,42
62,20.0,0.1,37.910778522491455,0.4288965715932008,42
63,20.0,0.1,37.910778522491455,0.647510023528282,42
64,20.0,0.1,37.910778522491455,0.5272501920676078,42
65,20.0,0.01,37.910778522491455,0.6741837126668587,42
66,20.0,0.01,37.910778522491455,0.6776292254873716,42
67,20.0,0.01,37.910778522491455,0.6981867617401325,42
68,20.0,0.01,37.910778522491455,0.6179295111879382,42
69,20.0,0.001,37.910778522491455,0.7016676870258332,42
70,20.0,0.001,37.910778522491455,0.564639753193124,42
71,20.0,0.001,37.910778522491455,0.6337723878805339,42
72,20.0,0.001,37.910778522491455,0.5869781162969365,42
73,20.0,0.0001,37.910778522491455,0.6406057932392202,42
74,20.0,0.0001,37.910778522491455,0.5927515485450878,42
75,20.0,0.0001,37.910778522491455,0.7170883150869106,42
76,20.0,0.0001,37.910778522491455,0.6411711922596754,42
77,10.0,0.1,37.910778522491455,0.6442250672236627,42
78,10.0,0.1,37.910778522491455,0.7151031162969365,42
79,10.0,0.1,37.910778522491455,0.7428049673485067,42
80,10.0,0.1,37.910778522491455,0.7063469341208105,42
81,10.0,0.01,37.910778522491455,0.6599698093728992,42
82,10.0,0.01,37.910778522491455,0.6874453807740325,42
83,10.0,0.01,37.910778522491455,0.6153212930951695,42
84,10.0,0.01,37.910778522491455,0.685028029866513,42
85,10.0,0.001,37.910778522491455,0.5379831700758667,42
86,10.0,0.001,37.910778522491455,0.6672035556515894,42
87,10.0,0.001,37.910778522491455,0.6246161648900412,42
88,10.0,0.001,37.910778522491455,0.611425321713243,42
89,10.0,0.0001,37.910778522491455,0.687382958801498,42
90,10.0,0.0001,37.910778522491455,0.49373469461250363,42
91,10.0,0.0001,37.910778522491455,0.560588327091136,42
92,10.0,0.0001,37.910778522491455,0.6625477167963123,42
93,5.0,0.1,37.910778522491455,0.607000864304235,42
94,5.0,0.1,37.910778522491455,0.6577973446653221,42
95,5.0,0.1,37.910778522491455,0.6826376884663401,42
96,5.0,0.1,37.910778522491455,0.6551047968885048,42
97,5.0,0.01,37.910778522491455,0.668530322673581,42
98,5.0,0.01,37.910778522491455,0.5664154782483434,42
99,5.0,0.01,37.910778522491455,0.6582649092480554,42
100,5.0,0.01,37.910778522491455,0.6443889249015653,42
101,5.0,0.001,37.910778522491455,0.6926447109382502,42
102,5.0,0.001,37.910778522491455,0.7114214203399596,42
103,5.0,0.001,37.910778522491455,0.6392349106885623,42
104,5.0,0.001,37.910778522491455,0.6452445260731777,42
105,5.0,0.0001,37.910778522491455,0.5373565495054259,42
106,5.0,0.0001,37.910778522491455,0.592759951502929,42
107,5.0,0.0001,37.910778522491455,0.6108110054739267,42
108,5.0,0.0001,37.910778522491455,0.7219095121482761,42
109,1.0,0.1,37.910778522491455,0.6225988547968885,42
110,1.0,0.1,37.910778522491455,0.6464011331988859,42
111,1.0,0.1,37.910778522491455,0.6765251368481705,42
112,1.0,0.1,37.910778522491455,0.6681740972822433,42
113,1.0,0.01,37.910778522491455,0.6654497383078843,42
114,1.0,0.01,37.910778522491455,0.5600853500432152,42
115,1.0,0.01,37.910778522491455,0.6487035436473638,42
116,1.0,0.01,37.910778522491455,0.642439138576779,42
117,1.0,0.001,37.910778522491455,0.674335566119274,42
118,1.0,0.001,37.910778522491455,0.5891727888216652,42
119,1.0,0.001,37.910778522491455,0.667515665514261,42
120,1.0,0.001,37.910778522491455,0.7097519326803035,42
121,1.0,0.0001,37.910778522491455,0.6144704936137521,42
122,1.0,0.0001,37.910778522491455,0.6316977576106789,42
123,1.0,0.0001,37.910778522491455,0.6910511500048017,42
124,1.0,0.0001,37.910778522491455,0.6651742413329491,42
125,0.1,0.1,37.910778522491455,0.5703909776241237,42
126,0.1,0.1,37.910778522491455,0.6366927158359743,42
127,0.1,0.1,37.910778522491455,0.6120264333045231,42
128,0.1,0.1,37.910778522491455,0.5850319312397965,42
129,0.1,0.01,37.910778522491455,0.7011476039565927,42
130,0.1,0.01,37.910778522491455,0.5371827883414962,42
131,0.1,0.01,37.910778522491455,0.6327931431864016,42
132,0.1,0.01,37.910778522491455,0.7147333861519255,42
133,0.1,0.001,37.910778522491455,0.6525845097474311,42
134,0.1,0.001,37.910778522491455,0.7024290550273696,42
135,0.1,0.001,37.910778522491455,0.5303613872082973,42
136,0.1,0.001,37.910778522491455,0.7003238139825219,42
137,0.1,0.0001,37.910778522491455,0.5846808076442909,42
138,0.1,0.0001,37.910778522491455,0.44788755641985983,42
139,0.1,0.0001,37.910778522491455,0.6671240276577356,42
140,0.1,0.0001,37.910778522491455,0.5458984562566023,42
142,,,32.920329570770264,0.723418743397676,43
142,50.0,0.1,32.920329570770264,0.7445368769806973,43
143,50.0,0.01,32.920329570770264,0.714711478440411,43
144,50.0,0.001,32.920329570770264,0.569074114088159,43
145,50.0,0.0001,32.920329570770264,0.58238830068184,43
146,30.0,0.1,32.920329570770264,0.6825263492749447,43
147,30.0,0.01,32.920329570770264,0.7105757226543743,43
148,30.0,0.001,32.920329570770264,0.6424712498799577,43
149,30.0,0.0001,32.920329570770264,0.597230024968789,43
150,20.0,0.1,32.920329570770264,0.6353659488139826,43
151,20.0,0.01,32.920329570770264,0.6546726447709593,43
152,20.0,0.001,32.920329570770264,0.632490936809757,43
153,20.0,0.0001,32.920329570770264,0.5759516349755114,43
154,10.0,0.1,32.920329570770264,0.5934907087294727,43
155,10.0,0.01,32.920329570770264,0.6387673461058292,43
156,10.0,0.001,32.920329570770264,0.7057410208393355,43
157,10.0,0.0001,32.920329570770264,0.6363280874867954,43
158,5.0,0.1,32.920329570770264,0.6467672620762508,43
159,5.0,0.01,32.920329570770264,0.7443766205704407,43
160,5.0,0.001,32.920329570770264,0.6441626452511284,43
161,5.0,0.0001,32.920329570770264,0.6330917482953999,43
162,1.0,0.1,32.920329570770264,0.6886118913857677,43
163,1.0,0.01,32.920329570770264,0.6844185153173916,43
164,1.0,0.001,32.920329570770264,0.6397330860462883,43
165,1.0,0.0001,32.920329570770264,0.6176762220301546,43
166,0.1,0.1,32.920329570770264,0.6713528161912993,43
167,0.1,0.01,32.920329570770264,0.6430231441467397,43
168,0.1,0.001,32.920329570770264,0.6517304091040046,43
169,0.1,0.0001,32.920329570770264,0.674335566119274,43
170,50.0,0.1,32.920329570770264,0.6060621338711226,43
171,50.0,0.1,32.920329570770264,0.5967708633438971,43
172,50.0,0.1,32.920329570770264,0.6725058220493614,43
173,50.0,0.1,32.920329570770264,0.6696122034956304,43
174,50.0,0.01,32.920329570770264,0.6529323321809276,43
175,50.0,0.01,32.920329570770264,0.6447550537789302,43
176,50.0,0.01,32.920329570770264,0.6485162777297608,43
177,50.0,0.01,32.920329570770264,0.5140254369538078,43
178,50.0,0.001,32.920329570770264,0.7082967204455969,43
179,50.0,0.001,32.920329570770264,0.7117506362239507,43
180,50.0,0.001,32.920329570770264,0.7012808508595025,43
181,50.0,0.001,32.920329570770264,0.6126725607413809,43
182,50.0,0.0001,32.920329570770264,0.708941647459906,43
183,50.0,0.0001,32.920329570770264,0.6331004513588783,43
184,50.0,0.0001,32.920329570770264,0.6446215067703832,43
185,50.0,0.0001,32.920329570770264,0.6345826731009315,43
186,30.0,0.1,32.920329570770264,0.5767349106885623,43
187,30.0,0.1,32.920329570770264,0.5927074330164218,43
188,30.0,0.1,32.920329570770264,0.734209041582637,43
189,30.0,0.1,32.920329570770264,0.6855580164217805,43
190,30.0,0.01,32.920329570770264,0.7732716916354556,43
191,30.0,0.01,32.920329570770264,0.6960142970325555,43
192,30.0,0.01,32.920329570770264,0.6630777033515798,43
193,30.0,0.01,32.920329570770264,0.6987608638240661,43
194,30.0,0.001,32.920329570770264,0.7226573753961394,43
195,30.0,0.001,32.920329570770264,0.6874942979928935,43
196,30.0,0.001,32.920329570770264,0.6511292975127245,43
197,30.0,0.001,32.920329570770264,0.7230000960338039,43
198,30.0,0.0001,32.920329570770264,0.5063328291558629,43
199,30.0,0.0001,32.920329570770264,0.6026691395371171,43
200,30.0,0.0001,32.920329570770264,0.703831748775569,43
201,30.0,0.0001,32.920329570770264,0.62470049457409,43
202,20.0,0.1,32.920329570770264,0.7130909079996158,43
203,20.0,0.1,32.920329570770264,0.7209389705176222,43
204,20.0,0.1,32.920329570770264,0.7248655526745414,43
205,20.0,0.1,32.920329570770264,0.6556837006626333,43
206,20.0,0.01,32.920329570770264,0.5450662633246903,43
207,20.0,0.01,32.920329570770264,0.6833585422068568,43
208,20.0,0.01,32.920329570770264,0.5299490420628061,43
209,20.0,0.01,32.920329570770264,0.6922395683280514,43
210,20.0,0.001,32.920329570770264,0.6470475607413809,43
211,20.0,0.001,32.920329570770264,0.669403029866513,43
212,20.0,0.001,32.920329570770264,0.6303403798136944,43
213,20.0,0.001,32.920329570770264,0.5716859334485739,43
214,20.0,0.0001,32.920329570770264,0.6151205224238931,43
215,20.0,0.0001,32.920329570770264,0.6070716892346106,43
216,20.0,0.0001,32.920329570770264,0.7117641409776241,43
217,20.0,0.0001,32.920329570770264,0.6463351099587054,43
218,10.0,0.1,32.920329570770264,0.6677200374531834,43
219,10.0,0.1,32.920329570770264,0.47580848458657443,43
220,10.0,0.1,32.920329570770264,0.6803586862575627,43
221,10.0,0.1,32.920329570770264,0.6519041702679343,43
222,10.0,0.01,32.920329570770264,0.6872764213002978,43
223,10.0,0.01,32.920329570770264,0.6070143690579084,43
224,10.0,0.01,32.920329570770264,0.7465355805243445,43
225,10.0,0.01,32.920329570770264,0.7382334581772785,43
226,10.0,0.001,32.920329570770264,0.678849455008163,43
227,10.0,0.001,32.920329570770264,0.6405751824642274,43
228,10.0,0.001,32.920329570770264,0.7361723326610967,43
229,10.0,0.001,32.920329570770264,0.6548244982233746,43
230,10.0,0.0001,32.920329570770264,0.6542455944492461,43
231,10.0,0.0001,32.920329570770264,0.6011650100835494,43
232,10.0,0.0001,32.920329570770264,0.6690738139825219,43
233,10.0,0.0001,32.920329570770264,0.6543080164217805,43
234,5.0,0.1,32.920329570770264,0.5364484298473062,43
235,5.0,0.1,32.920329570770264,0.6413890689522712,43
236,5.0,0.1,32.920329570770264,0.6631266205704408,43
237,5.0,0.1,32.920329570770264,0.6005419907807549,43
238,5.0,0.01,32.920329570770264,0.6464734586574474,43
239,5.0,0.01,32.920329570770264,0.5736810357245751,43
240,5.0,0.01,32.920329570770264,0.4419403630077787,43
241,5.0,0.01,32.920329570770264,0.7171153245942572,43
242,5.0,0.001,32.920329570770264,0.7205962498799579,43
243,5.0,0.001,32.920329570770264,0.6440915202151157,43
244,5.0,0.001,32.920329570770264,0.6623433448573898,43
245,5.0,0.001,32.920329570770264,0.6774248535484491,43
246,5.0,0.0001,32.920329570770264,0.709730024968789,43
247,5.0,0.0001,32.920329570770264,0.7207345985786997,43
248,5.0,0.0001,32.920329570770264,0.7434462930951695,43
249,5.0,0.0001,32.920329570770264,0.6513741837126669,43
250,1.0,0.1,32.920329570770264,0.6371113631998464,43
251,1.0,0.1,32.920329570770264,0.6028699102083933,43
252,1.0,0.1,32.920329570770264,0.5775181864016133,43
253,1.0,0.1,32.920329570770264,0.6952847402285605,43
254,1.0,0.01,32.920329570770264,0.6757064486699318,43
255,1.0,0.01,32.920329570770264,0.709360294823778,43
256,1.0,0.01,32.920329570770264,0.6733380149812734,43
257,1.0,0.01,32.920329570770264,0.6504573609910689,43
258,1.0,0.001,32.920329570770264,0.5378277153558052,43
259,1.0,0.001,32.920329570770264,0.6492776457312974,43
260,1.0,0.001,32.920329570770264,0.6607581868817824,43
261,1.0,0.001,32.920329570770264,0.700003301162009,43
262,1.0,0.0001,32.920329570770264,0.6587594833381349,43
263,1.0,0.0001,32.920329570770264,0.6691362359550562,43
264,1.0,0.0001,32.920329570770264,0.6899740708729473,43
265,1.0,0.0001,32.920329570770264,0.6723233578219533,43
266,0.1,0.1,32.920329570770264,0.6780478728512437,43
267,0.1,0.1,32.920329570770264,0.6646712642850283,43
268,0.1,0.1,32.920329570770264,0.6179076034764237,43
269,0.1,0.1,32.920329570770264,0.7232716916354556,43
270,0.1,0.01,32.920329570770264,0.6222831436665706,43
271,0.1,0.01,32.920329570770264,0.5990903798136944,43
272,0.1,0.01,32.920329570770264,0.6517439138576778,43
273,0.1,0.01,32.920329570770264,0.6155610774992797,43
274,0.1,0.001,32.920329570770264,0.6993532723518678,43
275,0.1,0.001,32.920329570770264,0.6535601531739172,43
276,0.1,0.001,32.920329570770264,0.6020866344953424,43
277,0.1,0.001,32.920329570770264,0.7136208945548833,43
278,0.1,0.0001,32.920329570770264,0.6127166762700471,43
